,Line,Client,Destination,Placement Time,Completion Time,Removal Time,Loading dtn,Removal dtn,JNPT loading,GTI loading,NSICT loading,BMCT loading,Total loading,JNPT unloading,GTI unloading,NSICT unloading,BMCT unloading,Total unloading
87,8,GRPL,GRFV,2022-01-05 02:20:00,2022-01-05 14:00:00,2022-01-05 14:30:00,11.666666666666666,0.5,30,31,5,24,90,2,49,18,21,90
88,5,ADIL,NTSJ,2022-01-05 03:55:00,2022-01-05 08:10:00,2022-01-05 09:00:00,4.25,0.8333333333333334,0,0,90,0,90,0,0,0,0,0
89,B1,ADIL,NTSJ,2022-01-05 08:00:00,2022-01-05 17:30:00,2022-01-05 18:30:00,9.5,1.0,0,0,0,90,90,3,36,23,28,90
90,4,NCP,NTSJ,2022-01-05 13:25:00,2022-01-05 17:50:00,2022-01-05 19:40:00,4.416666666666667,1.8333333333333333,0,0,80,0,80,0,2,75,3,80
91,8,DLI,DLIB,2022-01-05 14:35:00,2022-01-05 23:10:00,2022-01-06 00:05:00,8.583333333333334,0.9166666666666666,90,0,0,0,90,0,7,66,11,86
92,6,NCP,NTSJ,2022-01-05 13:05:00,2022-01-05 23:55:00,2022-01-06 04:30:00,10.833333333333334,4.583333333333333,0,60,30,0,90,90,0,0,0,90
93,4,,SNF,2022-01-03 23:40:00,2022-01-06 00:30:00,2022-01-06 00:50:00,0.8333333333333334,0.3333333333333333,0,0,87,3,90,12,22,38,18,90
94,B3,,DRTA,2022-01-05 05:00:00,2022-01-06 23:50:00,2022-01-07 05:00:00,18.833333333333332,5.166666666666667,53,14,8,15,90,59,22,2,7,90
95,B2,,SNF,2022-01-05 17:10:00,2022-01-06 02:30:00,2022-01-06 03:45:00,9.333333333333334,1.25,0,0,2,88,90,10,3,71,2,86
96,G2,,TKD,2022-01-06 02:15:00,2022-01-06 14:15:00,2022-01-06 14:55:00,12.0,0.6666666666666666,16,69,2,3,90,1,32,34,23,90
97,8,,CGPT,2022-01-06 03:00:00,2022-01-06 21:25:00,2022-01-06 22:15:00,18.416666666666668,0.8333333333333334,18,40,28,4,90,0,2,65,23,90
98,5,,SNF,2022-01-06 08:30:00,2022-01-06 13:50:00,2022-01-06 14:35:00,5.333333333333333,0.75,0,0,80,0,80,1,8,34,37,80
99,G1,,JAB,2022-01-06 11:25:00,2022-01-06 18:00:00,2022-01-06 18:35:00,6.583333333333333,0.5833333333333334,12,68,10,0,90,1,23,36,30,90
100,B1,,SNF,2022-01-06 13:25:00,2022-01-06 20:50:00,2022-01-06 21:25:00,7.416666666666667,0.5833333333333334,0,0,0,80,80,0,28,42,10,80
101,5,,PCPK,2022-01-06 15:20:00,2022-01-06 21:45:00,2022-01-06 22:30:00,6.416666666666667,0.75,4,0,86,0,90,2,78,10,0,90
102,G2,,TKD,2022-01-06 16:30:00,2022-01-06 23:35:00,2022-01-07 01:15:00,7.083333333333333,1.6666666666666667,18,62,0,0,80,0,30,38,12,80
103,G1,,PCPK,2022-01-06 19:35:00,2022-01-06 23:45:00,2022-01-07 04:55:00,4.166666666666667,5.166666666666667,6,84,0,0,90,2,23,35,30,90
104,4,CRRS 03,CMCT,2022-01-05 20:50:00,2022-01-06 03:00:00,2022-01-06 04:05:00,6.166666666666667,1.0833333333333333,0,0,90,0,90,0,30,40,20,90
105,B1,ADIL 16,NTSJ,2022-01-05 21:40:00,2022-01-06 06:40:00,2022-01-06 08:10:00,9.0,1.5,0,0,0,90,90,6,35,31,18,90
106,5,DLI 07,DLIB,2022-01-06 01:00:00,2022-01-06 06:00:00,2022-01-06 07:20:00,5.0,1.3333333333333333,2,0,88,0,90,8,10,67,5,90
107,B4,GRPL03,GRFV,2022-01-06 01:40:00,2022-01-06 15:15:00,2022-01-06 16:00:00,13.583333333333334,0.75,7,19,4,60,90,12,56,6,16,90
108,4,DLI 08,DLIB,2022-01-06 05:20:00,2022-01-06 14:00:00,2022-01-06 15:35:00,8.666666666666666,1.5833333333333333,0,0,90,0,90,0,2,65,23,90
109,1,ADIL 17,NTSJ,2022-01-06 06:55:00,2022-01-06 16:00:00,2022-01-06 16:45:00,9.083333333333334,0.75,8,40,42,0,90,0,20,40,30,90
110,G3,CONCR,BRC,2022-01-05 22:45:00,2022-01-07 13:30:00,2022-01-07 14:25:00,14.75,0.9166666666666666,11,27,20,32,90,0,49,17,24,90
111,B2,CONCR,PCPK,2022-01-06 05:45:00,2022-01-07 07:35:00,2022-01-07 08:40:00,1.8333333333333333,1.0833333333333333,0,0,0,90,90,1,37,39,11,88
112,8,CONCR,DRTA,2022-01-06 23:45:00,2022-01-07 09:50:00,2022-01-07 10:35:00,10.083333333333334,0.75,0,6,0,0,6,0,54,36,0,90
113,G2,CONCR,TNPM,2022-01-07 02:15:00,2022-01-07 04:10:00,2022-01-07 04:55:00,1.9166666666666667,0.75,0,0,0,0,0,2,31,36,21,90
114,B4,CONCR,CPFS,2022-01-07 04:00:00,2022-01-07 14:00:00,2022-01-07 14:50:00,10.0,0.8333333333333334,0,0,0,90,90,12,18,42,18,90
115,G2,CONCR,SNF,2022-01-07 05:30:00,2022-01-07 14:30:00,2022-01-07 15:35:00,9.0,1.0833333333333333,0,90,0,0,90,8,54,26,2,90
116,B3,CONCR,MDDP,2022-01-07 06:30:00,2022-01-07 23:55:00,2022-01-08 03:20:00,17.416666666666668,3.4166666666666665,0,26,26,38,90,24,31,27,8,90
117,G1,CONCR,DLB,2022-01-07 08:50:00,2022-01-07 17:45:00,2022-01-07 18:45:00,8.916666666666666,1.0,5,24,60,1,90,32,2,22,34,90
118,5,CONCR,AKV,2022-01-07 10:10:00,2022-01-07 21:05:00,2022-01-07 21:45:00,10.916666666666666,0.6666666666666666,31,21,38,0,90,6,10,68,6,90
119,8,CONCR,SNF,2022-01-07 11:30:00,2022-01-07 21:00:00,2022-01-07 22:00:00,9.5,1.0,39,51,0,0,90,0,43,32,15,90
120,G3,CONCR,DER,2022-01-07 15:30:00,2022-01-07 23:20:00,2022-01-08 01:10:00,7.833333333333333,1.8333333333333333,30,60,0,0,90,0,6,68,16,90
121,6,PMLP 06,MKPP,2022-01-06 12:05:00,2022-01-07 16:15:00,2022-01-07 17:00:00,4.166666666666667,0.75,6,13,54,17,90,4,25,48,13,90
122,4,HTPL 01,JUI,2022-01-06 16:35:00,2022-01-07 05:30:00,2022-01-07 06:15:00,12.916666666666666,0.75,0,8,77,5,90,0,0,90,0,90
123,B4,ADIL 18,NTSJ,2022-01-06 17:35:00,2022-01-07 02:00:00,2022-01-07 02:55:00,8.416666666666666,0.9166666666666666,0,0,0,90,90,0,14,5,71,90
124,1,ADIL 19,NTSJ,2022-01-06 19:30:00,2022-01-07 10:40:00,2022-01-07 11:25:00,15.166666666666666,0.75,30,20,40,0,90,0,5,66,19,90
125,B1,NCP 11,NTSJ,2022-01-06 23:05:00,2022-01-07 10:45:00,2022-01-07 12:15:00,11.666666666666666,1.5,0,0,0,90,90,0,0,0,90,90
126,5,DLI 09,DLIB,2022-01-06 23:30:00,2022-01-07 08:15:00,2022-01-07 09:00:00,8.75,0.75,0,0,90,0,90,10,5,36,39,90
127,4,KRIL 02,MRWN,2022-01-07 07:20:00,2022-01-07 15:50:00,2022-01-07 16:30:00,8.5,0.6666666666666666,0,10,70,10,90,0,16,45,29,90
128,B2,ADIL 20,NTSJ,2022-01-07 10:25:00,2022-01-07 18:00:00,2022-01-07 18:55:00,7.583333333333333,0.9166666666666666,0,0,0,90,90,0,11,24,55,90
129,1,ADIL 21,NTSJ,2022-01-07 12:35:00,2022-01-07 23:00:00,2022-01-08 00:40:00,10.416666666666666,1.6666666666666667,2,0,88,0,90,0,0,90,0,90
130,B1,DLI 11,KPFP,2022-01-07 13:15:00,2022-01-07 23:10:00,2022-01-08 00:20:00,9.916666666666666,1.1666666666666667,0,0,0,90,90,1,19,40,30,90
131,G2,DLI 10,DLIB,2022-01-07 16:40:00,2022-01-07 22:45:00,2022-01-07 23:40:00,6.083333333333333,0.9166666666666666,0,80,0,0,80,0,37,40,3,80
132,6,CONCR,DRTA,2022-01-07 18:40:00,2022-01-08 04:00:00,2022-01-08 05:40:00,9.333333333333334,1.6666666666666667,0,0,0,0,0,9,3,6,72,90
133,B2,CONCR,DER,2022-01-07 21:40:00,2022-01-08 09:00:00,2022-01-08 10:05:00,11.333333333333334,1.0833333333333333,2,0,0,88,90,0,35,36,19,90
134,G1,CONCR,TKD,2022-01-07 21:55:00,2022-01-08 12:35:00,2022-01-08 13:30:00,14.666666666666666,0.9166666666666666,27,23,34,6,90,2,13,45,22,82
135,5,CONCR,CGPT,2022-01-07 22:40:00,2022-01-08 05:15:00,2022-01-08 06:20:00,6.583333333333333,1.0833333333333333,0,0,90,0,90,31,47,9,3,90
136,B1,CONCR,SNF,2022-01-08 02:00:00,2022-01-08 13:00:00,2022-01-08 13:55:00,11.0,0.9166666666666666,0,0,11,77,88,0,32,4,54,90
137,5,CONCR,PCPK,2022-01-08 07:35:00,2022-01-08 11:50:00,2022-01-08 12:35:00,4.25,0.75,0,0,80,0,80,0,47,17,12,76
138,G1,CONCR,SNF,2022-01-08 15:10:00,2022-01-08 19:05:00,2022-01-08 19:50:00,3.9166666666666665,0.75,0,90,0,0,90,0,8,50,32,90
139,B2,CONR,SNF,2022-01-08 11:40:00,2022-01-08 20:30:00,2022-01-08 21:10:00,8.833333333333334,0.6666666666666666,0,0,0,90,90,4,25,50,11,90
140,6,CONR,DLB,2022-01-08 07:45:00,2022-01-08 21:55:00,2022-01-08 22:55:00,14.166666666666666,1.0,0,78,10,2,90,48,19,15,8,90
141,1,CONR,BNGD,2022-01-08 01:50:00,2022-01-08 23:30:00,2022-01-09 00:50:00,21.666666666666668,1.3333333333333333,3,42,0,45,90,0,32,34,24,90
142,G2,CONR,AKV,2022-01-08 05:00:00,2022-01-08 23:45:00,2022-01-09 02:45:00,18.75,3.0,0,66,24,0,90,62,28,0,0,90
143,B4,CONR,CGPT,2022-01-08 10:00:00,2022-01-08 23:50:00,2022-01-09 02:40:00,13.833333333333334,2.8333333333333335,2,16,26,46,90,14,34,24,18,90
144,B1,CONR,DRTA,2022-01-08 16:15:00,2022-01-08 23:55:00,2022-01-09 04:15:00,7.666666666666667,4.333333333333333,10,0,2,78,90,1,35,21,33,90
145,B4,PMLP,MKPP,2022-01-07 16:10:00,2022-01-08 05:25:00,2022-01-08 06:10:00,13.25,0.75,0,0,0,90,90,0,12,10,68,90
146,4,NCP,NTSJ,2022-01-07 19:15:00,2022-01-08 02:45:00,2022-01-08 03:40:00,7.5,0.9166666666666666,0,0,90,0,90,0,6,62,22,90
147,8,ADIL,NTSJ,2022-01-07 23:15:00,2022-01-08 07:50:00,2022-01-08 08:25:00,8.583333333333334,0.5833333333333334,0,31,59,0,90,10,14,58,8,90
148,B3,NCP,NTSJ,2022-01-08 04:30:00,2022-01-08 17:10:00,2022-01-08 17:55:00,12.666666666666666,0.75,0,0,0,80,80,0,56,9,15,80
149,4,PMLP,MKPP,2022-01-08 04:45:00,2022-01-08 14:45:00,2022-01-08 15:40:00,10.0,0.9166666666666666,0,26,41,13,80,10,31,6,33,80
150,5,GRPL,GRFV,2022-01-08 14:25:00,2022-01-08 18:40:00,2022-01-08 19:35:00,4.25,0.9166666666666666,0,0,90,0,90,0,28,40,22,90
151,G3,ADIL,NTSJ,2022-01-08 05:35:00,2022-01-08 20:45:00,2022-01-08 22:10:00,15.166666666666666,1.4166666666666667,0,0,90,0,90,0,88,2,0,90
152,4,ADIL,NTSJ,2022-01-08 16:40:00,2022-01-08 23:35:00,2022-01-09 02:15:00,6.916666666666667,2.6666666666666665,0,0,90,0,90,0,21,27,42,90
153,8,DLI,MLSW,2022-01-08 09:25:00,2022-01-08 23:40:00,2022-01-09 01:30:00,14.25,1.8333333333333333,0,6,74,10,90,0,8,75,7,90
154,B3,CONR,TKD,2022-01-08 19:15:00,2022-01-09 11:30:00,2022-01-09 11:50:00,16.25,0.3333333333333333,10,23,32,25,90,0,20,45,25,90
155,6,CONR,PCPK,2022-01-08 23:55:00,2022-01-09 09:55:00,2022-01-09 10:30:00,10.0,0.5833333333333334,80,0,0,0,80,3,12,46,19,80
156,G1,CONR,SNF,2022-01-09 01:10:00,2022-01-09 06:00:00,2022-01-09 06:45:00,4.833333333333333,0.75,0,90,0,0,90,15,18,1,30,64
157,4,CONR,PCPK,2022-01-09 03:35:00,2022-01-09 09:40:00,2022-01-09 10:30:00,6.083333333333333,0.8333333333333334,0,0,90,0,90,0,20,38,8,66
